DT + 1698694407440;LT55.5272951;LG37.6101596;PB987.76416;SP15.015957AZ: 14.226362
DT + 1698694408446;LT55.5271622;LG37.6101315;PB987.7832;SP15.038887AZ: -21.12053
DT + 1698694409469;LT55.5270285;LG37.6101015;PB987.77295;SP14.846184AZ: 11.738744
DT + 1698694410458;LT55.5268968;LG37.6100746;PB987.8003;SP14.851723AZ: 11.334572
DT + 1698694411466;LT55.5267655;LG37.6100465;PB987.78564;SP14.771545AZ: -7.002505
DT + 1698694412470;LT55.5266335;LG37.6100163;PB987.7744;SP14.893094AZ: -13.214755
DT + 1698694413471;LT55.5265009;LG37.6099861;PB987.7007;SP14.846893AZ: 14.630068
DT + 1698694414462;LT55.526371;LG37.6099557;PB987.7456;SP14.768703AZ: 16.38995
DT + 1698694415471;LT55.5262404;LG37.6099231;PB987.8003;SP14.737035AZ: 4.6512046
DT + 1698694416454;LT55.5261096;LG37.609892;PB987.7881;SP14.972328AZ: 14.455564
DT + 1698694417463;LT55.5259769;LG37.6098591;PB987.76953;SP15.037887AZ: 5.0110955
DT + 1698694418469;LT55.5258434;LG37.6098236;PB987.7788;SP15.085095AZ: -5.66065
DT + 1698694419456;LT55.5257088;LG37.6097884;PB987.79785;SP15.211697AZ: 2.9716103
DT + 1698694420456;LT55.5255732;LG37.6097536;PB987.78516;SP15.168936AZ: -15.503219
DT + 1698694421452;LT55.525437;LG37.6097201;PB987.7803;SP15.454975AZ: 11.250281
DT + 1698694422459;LT55.5252985;LG37.6096859;PB987.72656;SP15.457918AZ: 13.820083
DT + 1698694423470;LT55.5251623;LG37.6096501;PB987.7529;SP15.041257AZ: 10.398324
DT + 1698694424460;LT55.525031;LG37.6096074;PB987.73975;SP14.919813AZ: -4.1346254
DT + 1698694425454;LT55.5248971;LG37.609572;PB987.7202;SP15.340434AZ: 6.28602
DT + 1698694426454;LT55.5247599;LG37.6095402;PB987.71826;SP15.569613AZ: 9.168421
DT + 1698694427469;LT55.5246203;LG37.6095038;PB987.7368;SP15.653513AZ: 10.912521
DT + 1698694428465;LT55.5244807;LG37.6094675;PB987.6294;SP15.673251AZ: 2.4736705
DT + 1698694429469;LT55.5243412;LG37.6094311;PB987.6904;SP15.681221AZ: -3.0238638
DT + 1698694430467;LT55.5242027;LG37.6093976;PB987.66064;SP15.790601AZ: -2.895567
DT + 1698694431445;LT55.5240618;LG37.609361;PB987.66455;SP15.685675AZ: -19.622015
DT + 1698694432455;LT55.5239202;LG37.6093232;PB987.63965;SP15.705185AZ: 17.293419
DT + 1698694433465;LT55.5237793;LG37.6092855;PB987.6533;SP15.7397585AZ: 12.512752
DT + 1698694434439;LT55.5236387;LG37.6092514;PB987.646;SP15.699152AZ: -2.393077
DT + 1698694435454;LT55.5234974;LG37.6092148;PB987.5488;SP15.798685AZ: -5.302132
DT + 1698694436469;LT55.5233558;LG37.6091754;PB987.53613;SP15.95355AZ: 8.017572
DT + 1698694437451;LT55.5232144;LG37.6091376;PB987.5581;SP15.883823AZ: -1.9089397
DT + 1698694438469;LT55.5230739;LG37.6090981;PB987.56494;SP15.898688AZ: 1.8642728
DT + 1698694439482;LT55.5229342;LG37.6090587;PB987.5283;SP15.893312AZ: -1.7049178
DT + 1698694440454;LT55.5227951;LG37.6090265;PB987.51465;SP15.809432AZ: -6.39547
DT + 1698694441459;LT55.5226542;LG37.6089961;PB987.4375;SP15.913631AZ: -2.2792323
DT + 1698694442461;LT55.5225115;LG37.6089679;PB987.4629;SP15.930394AZ: -5.8895426
DT + 1698694443466;LT55.5223689;LG37.6089399;PB987.4331;SP15.858252AZ: -0.53637236
DT + 1698694444459;LT55.5222275;LG37.6089119;PB987.417;SP16.07574AZ: 14.040516
DT + 1698694445454;LT55.522084;LG37.6088845;PB987.34814;SP16.144835AZ: 9.490925
DT + 1698694446457;LT55.5219412;LG37.6088565;PB987.353;SP15.930256AZ: -13.877574
DT + 1698694447461;LT55.5217992;LG37.608827;PB987.355;SP16.018244AZ: 13.980079
DT + 1698694448454;LT55.5216576;LG37.6087982;PB987.3208;SP15.958227AZ: 14.955903
DT + 1698694449440;LT55.5215163;LG37.6087718;PB987.29785;SP16.100542AZ: 9.941159
DT + 1698694450471;LT55.5213734;LG37.608747;PB987.29297;SP16.019669AZ: 7.6325927
DT + 1698694451457;LT55.5212339;LG37.6087218;PB987.26025;SP15.945941AZ: 3.8426456
DT + 1698694452455;LT55.5210932;LG37.6086985;PB987.08545;SP15.975228AZ: 9.517831
DT + 1698694453462;LT55.5209522;LG37.6086775;PB987.1914;SP15.898531AZ: 11.864625
DT + 1698694454450;LT55.520813;LG37.6086562;PB987.16064;SP16.067104AZ: 8.638877
DT + 1698694455461;LT55.5206693;LG37.6086324;PB987.0913;SP16.162088AZ: 5.482987
DT + 1698694456458;LT55.5205257;LG37.6086078;PB987.08594;SP15.947314AZ: -2.954893
DT + 1698694457462;LT55.5203833;LG37.608585;PB987.0371;SP15.997304AZ: -22.517908
DT + 1698694458446;LT55.5202402;LG37.6085646;PB987.042;SP16.06418AZ: -23.252102
DT + 1698694459471;LT55.520095;LG37.6085475;PB986.9824;SP15.95657AZ: -2.1693292
DT + 1698694460458;LT55.5199519;LG37.6085286;PB986.959;SP15.976841AZ: -1.3266242
DT + 1698694461471;LT55.5198069;LG37.60851;PB986.9536;SP16.125513AZ: 2.7204273
DT + 1698694462468;LT55.5196621;LG37.6084917;PB986.9502;SP16.072742AZ: -15.8755045
DT + 1698694463449;LT55.5195187;LG37.6084762;PB986.86035;SP15.993132AZ: -15.372545
DT + 1698694464459;LT55.519377;LG37.608462;PB986.8013;SP16.018606AZ: -0.6679504
DT + 1698694465463;LT55.5192335;LG37.6084465;PB986.8081;SP16.072395AZ: 3.859561
DT + 1698694466463;LT55.5190886;LG37.6084318;PB986.8125;SP16.259378AZ: -6.257803
DT + 1698694467455;LT55.5189425;LG37.6084168;PB986.791;SP16.203394AZ: -8.205723
DT + 1698694468465;LT55.5187977;LG37.6084017;PB986.8047;SP16.047459AZ: -11.470941
DT + 1698694469467;LT55.5186534;LG37.6083893;PB986.78906;SP16.019344AZ: 5.400792
DT + 1698694470458;LT55.5185081;LG37.6083771;PB986.7446;SP16.237669AZ: -3.0563233
